tile,PMF UV c1 round0-3,,,,,,inter pk in,inter pk work,inter pk out,,sel pk in,sel pk work,sel pk out,,read latancy,32x32 input cc,32x32 work cc,32x32 output cc,,tqitq input,tqitq work,tqitq out
x,CYCLE,,,,,,1,1,1,,1,1,1,,2,88,-80,88,,4,19,1
y,MODE,,,,,,,,,,,,,,read latancy,16x16 input cc,16x16 work cc,16x16 output cc,,,,
mode,pipe begin,input begin,input end,output begin,output end,,,,,,,,,,2,44,-36,44,,,,
PMF_M8_0_a,0,2,24,20,28,,,,,,,,,,read latancy,8x8 input cc,8x8 work cc,8x8 output cc,,,,
PMF_M8_0_b,22,24,46,42,50,,,,,,,,,,2,22,-4,8,,,,
PMF_M8_0_c,44,46,68,100,108,,,,,,,,,,,,,,,,,
PMF_M16_0_a,66,68,112,76,120,,,,,,,,,,,,,,,,,
PMF_M16_0_b,110,112,156,120,164,,,,,,,,,,,,,,,,,
PMF_M8_1_a,154,156,178,174,182,,,,,,,,,,,,,,,,,
PMF_M8_1_b,176,178,200,196,204,,,,,,,,,,,,,,,,,
PMF_M8_1_c,198,200,222,218,226,,,,,,,,,,,,,,,,,
PMF_M16_0_c,220,222,266,230,274,,,,,,,,,,,,,,,,,
PMF_F16_0,264,266,310,364,408,,,,,,,,,,,,,,,,,
PMF_M8_2_a,400,402,424,420,428,,,,,,,,,,,,,,,,,
PMF_M8_2_b,422,424,446,442,450,,,,,,,,,,,,,,,,,
PMF_M8_2_c,444,446,468,464,472,,,,,,,,,,,,,,,,,
PMF_32M16_0,466,468,512,500,544,,,,,,,,,,,,,,,,,
PMF_32M16_1,510,512,556,544,588,,,,,,,,,,,,,,,,,
PMF_M8_3_a,600,602,624,620,628,,,,,,,,,,,,,,,,,
PMF_M8_3_b,622,624,668,632,676,,,,,,,,,,,,,,,,,
PMF_M8_3_c,666,668,712,676,720,,,,,,,,,,,,,,,,,
