tile,PMF c0 round0,,,,
x,CYCLE,,,,
y,MODE,,,,
mode,pipe begin,input begin,input end,output begin,output end
PMF_M8_0_a,0,2,10,14,18
PMF_M8_0_b ,8,10,18,22,26
PMF_M8_0_c ,16,18,26,30,34
PMF_F8_0,24,26,34,38,42
TQITQ_F8 ,0,36,40,63,64
INTER_PK8 ,0,64,65,66,67
SEL_PK8 ,0,67,68,69,70
PMF_M8_1_c ,79,81,89,93,97
TQITQ_M8 ,0,91,95,118,119
INTER_PK8 ,0,119,120,121,122
SEL_PK8 ,0,122,123,124,125
PMF_M8_2_c ,125,127,135,139,143
TQITQ_M8 ,0,137,141,164,165
INTER_PK8 ,0,165,166,167,168
SEL_PK8 ,0,168,169,170,171
PMF_M8_3_c ,171,173,181,188,192
TQITQ_F8 ,0,183,187,210,211
INTER_PK8 ,0,211,212,213,214
SEL_PK8 ,0,214,215,216,217
dummy wait,0,0,217,224,225
PMF_M8_1_a,32,34,42,46,50
PMF_M8_1_b ,40,42,50,54,58
PMF_F8_1,48,50,58,62,66
PMF_F8_2,103,105,113,117,121
PMF_M8_2_a,87,89,97,101,105
PMF_M8_2_b ,95,97,105,109,113
PMF_F16_0,56,58,81,95,111
PMF_M8_3_a,133,135,143,147,151
PMF_M8_3_b ,141,143,151,155,159
PMF_F8_3 ,149,151,159,163,167
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
