tile,PMF C1 round 0-3,,,,,,inter pk in,inter pk work,inter pk out,,sel pk in,sel pk work,sel pk out,,read latancy,32x32 input cc,32x32 work cc,32x32 output cc,,tqitq input,tqitq work,tqitq out
x,CYCLE,,,,,,1,1,1,,1,1,1,,2,88,-80,88,,4,19,1
y,MODE,,,,,,,,,,,,,,read latancy,16x16 input cc,16x16 work cc,16x16 output cc,,,,
mode,pipe begin,input begin,input end,output begin,output end,,,,,,,,,,2,44,-36,44,,,,
PMF_F8_0,0,2,24,10,31,,,,,,,,,,read latancy,8x8 input cc,8x8 work cc,8x8 output cc,,,,
PMF_M8_0_c,22,24,46,32,53,,,,,,,,,,2,22,-14,21,,,,
PMF_M16_0_a,44,46,90,54,98,,,,,,,,,,,,,,,,,
PMF_M16_0_b,88,90,134,98,142,,,,,,,,,,,,,,,,,
PMF_F8_1,200,202,224,210,231,,,,,,,,,,,,,,,,,
PMF_M8_1_c,222,224,246,232,253,,,,,,,,,,,,,,,,,
PMF_M16_0_c,244,246,290,254,298,,,,,,,,,,,,,,,,,
PMF_F16_0,288,290,334,298,342,,,,,,,,,,,,,,,,,
PMF_F8_2,400,402,424,410,431,,,,,,,,,,,,,,,,,
PMF_M8_2_c,422,424,446,432,453,,,,,,,,,,,,,,,,,
PMF_M32_a,444,446,534,454,542,,,,,,,,,,,,,,,,,
PMF_F8_3,600,602,624,610,631,,,,,,,,,,,,,,,,,
PMF_M8_3_c,622,624,668,632,676,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
